top_level,second_level,third_level,file_count,size_mb,review_notes
.gitattributes,(none),(none),1,0.0005,
.gitignore,(none),(none),1,0.0013,
README.md,(none),(none),1,0.0125,
data,README.md,(none),1,0.0008,
data,inputs,mutation,1,0.0001,
data,manual_review,prompt_context_manual_review_benign_100_ai_first_pass_v1.xlsx,1,0.0446,
data,manual_review,prompt_context_manual_review_pilot_25seeds_ai_first_pass_v1.xlsx,1,0.0561,
data,manual_review,prompt_context_manual_review_seed250_full_ai_first_pass_v1.xlsx,1,0.2016,
data,manual_review,prompt_context_manual_review_structure_intact_150_ai_first_pass_v1.xlsx,1,0.1143,
data,outputs,mutation,3,0.0004,
data,review,01_seed_review,9,3.6104,
data,review,02_operator_review,2,0.0794,
data,review,03_mutation_review,8,1.4485,
data,review,04_structure_intact,54,30.1769,
data,review,05_benign,3,0.7957,
data,review,99_archive,1,0.3657,
data,review,README.md,1,0.0043,
data,review,structure_intact_yaml_rescan_v2,2,0.1542,
docs,README.md,(none),1,0.0008,
docs,architecture,mutation_framework_overview.md,1,0.0022,
docs,archive,README.md,1,0.0003,
docs,archive,operator_inventory_v1,3,0.0174,
docs,archive,superseded,5,0.0624,
docs,contract,README.md,1,0.0007,
docs,contract,dataset_schema_v1.json,1,0.0041,
docs,contract,dataset_schema_v1.md,1,0.0044,
docs,contract,mutation_input_contract_v1.md,1,0.0088,
docs,contract,operator_contract_v0.1.md,1,0.0093,
docs,howto,README_operator_inventory_tools_v1.md,1,0.0008,
docs,howto,add_operator.md,1,0.0024,
docs,howto,quickstart.md,1,0.0032,
docs,howto,snapshots.md,1,0.0024,
docs,operator_inventory_v1.csv,(none),1,0.0082,
docs,operator_inventory_v1.md,(none),1,0.0053,
docs,operator_policy_v2_draft.md,(none),1,0.0028,
docs,policies,README.md,1,0.0006,
docs,policies,mutation_design_v1.md,1,0.0037,
docs,policies,operator_assignment_policy_v1.md,1,0.0043,
docs,policies,operator_assignment_policy_v1_1.md,1,0.0023,
docs,policies,operator_policy_v2.md,1,0.0162,
docs,policies,policy_operator_stats_logging_v0.1.md,1,0.0024,
docs,policies,policy_rng_repro_v0.1.md,1,0.0027,
docs,policies,policy_validity_guard_v0.1.md,1,0.0035,
docs,policies,source_usage_decision_v1.md,1,0.0078,
examples,.gitkeep,(none),1,0.0,
examples,__init__.py,(none),1,0.0,
examples,generate_children.py,(none),1,0.001,
examples,run_llm01_demo.py,(none),1,0.0027,
examples,run_one_case.py,(none),1,0.0009,
examples,seed_samples.json,(none),1,0.0051,
pytest.ini,(none),(none),1,0.0001,
reports,pre_monorepo_freeze,FREEZE_NOTES_20260730.md,1,0.0016,
reports,pre_monorepo_freeze,local_artifacts_manifest_20260730.csv,1,0.0035,
scripts,README.md,(none),1,0.0022,
scripts,curation,build_mutation_input_from_reviewed_seeds_v1.py,1,0.0112,
scripts,curation,export_seed250_to_mutation_input_v1.py,1,0.0049,
scripts,curation,inspect_manual_review_curation_status_v1.py,1,0.005,
scripts,curation,make_manual_review_samples_schema_v1.py,1,0.017,
scripts,curation,select_benign_100_v1.py,1,0.0063,
scripts,dataset,finalize,1,0.0233,
scripts,mutation,export,2,0.0206,
scripts,mutation,filter,3,0.0261,
