relative_path,size_bytes,sha256,modified_at_utc,git_storage
data/99. data_legacy/inputs/mutation_seeds_llm01.jsonl,739476,b3070da5079e73cdd98c90c42ad659d2b3b8bcc5b45dc8d2fd03cd1c4946d3ce,2026-07-02T09:43:28+00:00,excluded_local_artifact
data/99. data_legacy/inputs/structure_intact_llm01.jsonl,88584,db3c059bbe79750bf3bae482362e2e57531a6af9daea23f21d93c0ae37293e70,2026-07-02T09:43:28+00:00,excluded_local_artifact
data/99. data_legacy/manifest/.gitkeep,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-02T09:43:27+00:00,excluded_local_artifact
data/99. data_legacy/normalized/normalized_advbench.jsonl,412730,9b6cc804ed25530f3729482c6050db2f6122ede76ee368ed6631cf6c0ce22f8b,2026-07-02T09:43:28+00:00,excluded_local_artifact
data/99. data_legacy/normalized/normalized_do_not_answer.jsonl,9032025,716a9e97f0dc91cc3ca7737464d5456b08a0a40b90c4b564ad807038236fa270,2026-07-02T09:43:32+00:00,excluded_local_artifact
data/99. data_legacy/pre_monorepo_generated/structure_intact_finalize/structure_intact_dataset_150_manifest_v1.csv,776,6a34bad6014c1f6d92ae213539a4581651821cd6c96893038fadb6514d03b905,2026-07-23T11:12:49.781939+00:00,excluded_local_artifact
data/99. data_legacy/pre_monorepo_generated/structure_intact_finalize/structure_intact_dataset_150_summary_v1.json,640,17b7f1b68eadf5132bb4a5fe70f6e41d0a77ea8485f2ef2e06737d5244cb21cb,2026-07-23T11:12:54.991598+00:00,excluded_local_artifact
data/99. data_legacy/pre_monorepo_generated/structure_intact_finalize/structure_intact_dataset_150_v1.csv,321384,07286445b1328002c5959cc536ea6e2c624670088c73d7bbeb1a4fda8c0e35e2,2026-07-23T11:12:39.758970+00:00,excluded_local_artifact
data/99. data_legacy/pre_monorepo_generated/structure_intact_finalize/structure_intact_dataset_150_v1.jsonl,381737,674146245fbf8e70143e08b5f8abc43c789305279a3d002611fa68522083622c,2026-07-23T11:12:45.883843+00:00,excluded_local_artifact
data/99. data_legacy/raw/AdvBench/raw_advbench.jsonl,94045,75629618df8265c80df8cee615afdd7bc807c454c2229aad7e7b135024d144a3,2026-07-02T09:43:28+00:00,excluded_local_artifact
data/99. data_legacy/raw/DoNotAnswer/raw_do_not_answer.jsonl,4378394,86a63f86e45d1c57f43918a0df8a0f48cdc59b1dcfc680a83eb28c7f9d3aced9,2026-07-02T09:43:31+00:00,excluded_local_artifact
data/99. data_legacy/README.md,2539,37fb54acf537168c5a0f9773137208b8eb1ef05f28996eba239009664345210c,2026-07-02T09:43:26+00:00,excluded_local_artifact
data/99. data_legacy/seeds/mutation_seeds_llm01_advbench.jsonl,521934,659d86f7898fb04b2b8b201f305822fa6de10fe5071e7348e7c72809b658d63b,2026-07-02T09:43:28+00:00,excluded_local_artifact
data/99. data_legacy/seeds/mutation_seeds_llm01_do_not_answer.jsonl,9201884,93e691cf4df8f4217e791ed00de22b39c46e1745924a4cb21bb7990b6c5c848c,2026-07-02T09:43:31+00:00,excluded_local_artifact
data/llm_output/20260724/vuln_results_prompt_only_934_v1.jsonl,4074597,461a98fd9cbfb88737e320a90776cf38b3d31f89a7c522f81b1d9c5497f35539,2026-07-24T09:42:11.969995+00:00,excluded_local_artifact
data/llm_output/20260724/vuln_results_prompt_only_934_v1_summary.json,591,caeccefc8248220b78860c9d268ea04971e83b2bc8545b51a469b7b7bc50f052,2026-07-24T09:42:03.423576+00:00,excluded_local_artifact
data/normalized/all_sources_normalized_v1.csv,165292855,dff5ffcfcc9fdc39b93e72229398e90c62022cdea9822256eee256e29d61ffda,2026-07-06T07:51:46.271370+00:00,excluded_local_artifact
data/normalized/all_sources_normalized_v1.jsonl,192726115,b3f3be8b691e015a7995451670f1209866f452eeecb14892a1cde9a56e720765,2026-07-06T07:51:44.955036+00:00,excluded_local_artifact
data/normalized/eligible_pool_v1.jsonl,157035015,e973af2c0886cb61f7c381cc9b08aa34d50abb91052ee9dec2597a41eb7a0964,2026-07-06T07:53:53.728938+00:00,excluded_local_artifact
