file,operator_name,op_id,operator_family_guess,input_requirement_guess,output_format_guess,strength_min,strength_max,semantic_preservation_guess,label_change_risk_guess,risk_level,bucket_tags,attack_type_compat,surface_compat,has_params_schema,apply_signature,uses_rng,supports_max_chars,imports,inventory_status,recommended_action,use_in_diagnostic_v1,review_notes
src/operators/op_comp_expand_context.py,op_comp_expand_context,op_comp_expand_context,noise_injection,PROMPT_TEXT,plain_text_or_unknown,1,5,medium_risk_manual_review_needed,medium,MEDIUM,LLM05_INPUT_ROBUSTNESS; LLM10_DOS,data_exfiltration; indirect_injection; instruction_override,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_ctx_bypass_review_wrapper.py,op_ctx_bypass_review_wrapper,,unknown,unknown,unknown,,,unknown,unknown,,,,,,,,,,PARSE_ERROR,fix_or_review,no_until_fixed,invalid non-printable character U+FEFF at line 1
src/operators/op_direct_override_prefix.py,op_direct_override_prefix,op_direct_override_prefix,contextual,PROMPT_TEXT; SYSTEM_MESSAGE,plain_text,1,5,likely_preserved_but_review_needed,low_to_medium,HIGH,LLM01_PROMPT_INJECTION; LLM05_INPUT_ROBUSTNESS,instruction_override; policy_bypass; data_exfiltration,PROMPT_TEXT; SYSTEM_MESSAGE,True,"apply(seed_text, ctx, rng)",True,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_markdown_wrapper.py,op_fmt_markdown_wrapper,op_fmt_markdown_wrapper,structural,PROMPT_TEXT,markdown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM01_PROMPT_INJECTION; LLM05_INPUT_ROBUSTNESS,data_exfiltration; format_injection; indirect_injection; instruction_override,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_punctuation_resegmentation.py,op_fmt_punctuation_resegmentation,op_fmt_punctuation_resegmentation,syntactic,PROMPT_TEXT,plain_text,1,5,likely_preserved_but_review_needed,low_to_medium,LOW,LLM05_INPUT_ROBUSTNESS,data_exfiltration; instruction_override; policy_bypass,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; re; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_structured_wrapper_json_yaml.py,op_fmt_structured_wrapper_json_yaml,op_fmt_structured_wrapper_json_yaml,structural,PROMPT_TEXT,json_or_yaml,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_INPUT_ROBUSTNESS; LLM05_OUTPUT_HANDLING,data_exfiltration; format_injection; indirect_injection; instruction_override,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; json; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_whitespace_noise.py,op_fmt_whitespace_noise,op_fmt_whitespace_noise,noise_injection,PROMPT_TEXT; SYSTEM_MESSAGE,plain_text_or_unknown,1,5,medium_risk_manual_review_needed,medium,MEDIUM,LLM05_INPUT_ROBUSTNESS,data_exfiltration; instruction_override; policy_bypass,PROMPT_TEXT; SYSTEM_MESSAGE,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; re; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_json_schema_preserving_field_wrap.py,op_json_schema_preserving_field_wrap,op_json_schema_preserving_field_wrap,structural,PROMPT_TEXT; TOOL_ARGUMENTS,json,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_INPUT_ROBUSTNESS; LLM05_OUTPUT_HANDLING,data_exfiltration; format_injection; indirect_injection; instruction_override; tool_manipulation,PROMPT_TEXT; TOOL_ARGUMENTS,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; json; random; copy.deepcopy; typing.Any; typing.Dict; typing.List; typing.Tuple; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_homoglyph_injection.py,op_lex_homoglyph_injection,op_lex_homoglyph_injection,encoding,PROMPT_TEXT,plain_text_or_unknown,1,5,medium_risk_decode_or_readability_check_needed,medium,MEDIUM,LLM01_PROMPT_INJECTION; LLM05_INPUT_ROBUSTNESS,data_exfiltration; instruction_override; policy_bypass,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; typing.Tuple; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_polite_prefix.py,op_lex_polite_prefix,op_lex_polite_prefix,contextual,PROMPT_TEXT,plain_text,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM01_PROMPT_INJECTION; LLM05_INPUT_ROBUSTNESS,data_exfiltration; instruction_override; policy_bypass,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",True,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
