"edge_id","child_source_id","parent_source_id","relationship","record_scope","transformation","evidence_path","evidence_detail","confidence","license_dependency","notes"
"EDGE-0001","SRC-03_spml_chatbot_prompt_injection","UP-SPML-GANDALF","contains_records_from","115 distinct source_record_id values with metadata.source=Gandalf","SPML normalization preserves embedded source label","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/context_eval/manual_review_context_eval_schema_v1.csv","metadata.source is preserved from raw SPML records","probable","yes","Copying versus descriptive labelling is unresolved"
"EDGE-0002","UP-SPML-GANDALF","SRC-01_lakera_gandalf","possible_duplicate_of","Gandalf-labelled SPML records versus 33 distinct SRC-01 records","no duplicate mapping performed","docs/policies/source_usage_decision_v1.md;data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/context_eval/manual_review_context_eval_schema_v1.csv","Both nodes use Gandalf naming but no record-level comparison proves identity","possible","yes","Keep nodes separate until hashes and upstream revisions are compared"
"EDGE-0003","SRC-06_jailbreak_llms","UP-VERAZUO","unresolved_relationship","entire SRC-06 collection","none established","docs/policies/source_usage_decision_v1.md","Policy names verazuo/jailbreak_llms","unresolved","yes","Owner mirror or repository relationship is unknown"
"EDGE-0004","SRC-06_jailbreak_llms","UP-TRUSTAIRLAB","unresolved_relationship","entire SRC-06 collection","none established","docs/policies/source_usage_decision_v1.md","Policy pairs verazuo/jailbreak_llms with TrustAIRLab","unresolved","yes","Publisher mirror or dataset relationship is unknown"
"EDGE-0005","SRC-06_jailbreak_llms","UP-FLOWGPT","contains_records_from","33 distinct records labelled flowgpt in materialized review CSVs","SRC-06 normalization preserves metadata.source","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/bypass/manual_review_bypass_candidate_schema_v1.csv","Embedded metadata source label is flowgpt","probable","yes","Platform terms and exact acquisition method are unresolved"
"EDGE-0006","SRC-09_neuralchemy_prompt_injection_dataset","UP-HACKAPROMPT","contains_records_from","70 distinct records labelled hackaprompt in materialized CSVs","neuralchemy normalization preserves metadata.source","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Embedded metadata source label is hackaprompt","probable","yes","Copied versus transformed record scope is unresolved"
"EDGE-0007","SRC-09_neuralchemy_prompt_injection_dataset","UP-WILDGUARD-JUDGECOMP","contains_records_from","10 distinct records labelled wildguard_judgecomp in materialized CSVs","neuralchemy normalization preserves metadata.source","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Embedded metadata source label is wildguard_judgecomp","probable","yes","Exact dataset and split are unresolved"
"EDGE-0008","SRC-09_neuralchemy_prompt_injection_dataset","UP-HARMBENCH","contains_records_from","9 distinct records labelled harmbench in materialized CSVs","neuralchemy normalization preserves metadata.source","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","Embedded metadata source label is harmbench","probable","yes","Copied versus transformed record scope is unresolved"
"EDGE-0009","SRC-09_neuralchemy_prompt_injection_dataset","UP-HARMBENCH-BENIGN","contains_records_from","1 distinct record labelled harmbench_benign in materialized CSVs","neuralchemy normalization preserves metadata.source","scripts/normalization/normalize_sources_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_candidates_520_reviewed_v1.csv","Embedded metadata source label is harmbench_benign","probable","yes","Relationship to HarmBench main collection is unresolved"
"EDGE-0010","SRC-10_SCOUT_450","UP-AIME","contains_records_from","11 of 74 SCOUT candidate records","SCOUT filtering generation or naturalization as recorded per row","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","source_dataset=aime","confirmed","yes","Final selected-row mapping is not reconstructed"
