sample_id,reason,review_file,review_decision,keep_or_drop,attack_type,source_id,attack_surface,input_format
SEED-CAND-000002,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000003,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000004,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,data_exfiltration,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000005,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000006,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-04_deepset_prompt_injections,,
SEED-CAND-000007,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,data_exfiltration,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000008,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000009,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,data_exfiltration,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000010,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-01_lakera_gandalf,,
SEED-CAND-000011,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000012,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000013,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000014,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000015,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000017,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000018,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-04_deepset_prompt_injections,,
SEED-CAND-000019,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000020,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000021,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000022,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000023,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,data_exfiltration,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000024,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000025,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000026,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000027,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-04_deepset_prompt_injections,,
SEED-CAND-000028,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000029,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-01_lakera_gandalf,,
SEED-CAND-000030,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000031,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000032,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000033,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-04_deepset_prompt_injections,,
SEED-CAND-000034,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000035,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000036,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-04_deepset_prompt_injections,,
SEED-CAND-000037,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-04_deepset_prompt_injections,,
SEED-CAND-000038,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000039,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-04_deepset_prompt_injections,,
SEED-CAND-000040,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-01_lakera_gandalf,,
SEED-CAND-000041,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,role_play_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000042,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000043,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000044,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000045,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000046,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000047,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000048,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000049,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000050,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-04_deepset_prompt_injections,,
SEED-CAND-000051,zero_mutation_budget,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-09_neuralchemy_prompt_injection_dataset,user_prompt,yaml
SEED-CAND-000052,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,instruction_override,SRC-01_lakera_gandalf,,
SEED-CAND-000053,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000055,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,format_injection,SRC-09_neuralchemy_prompt_injection_dataset,,
SEED-CAND-000056,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,policy_bypass,SRC-03_spml_chatbot_prompt_injection,,
SEED-CAND-000057,not_kept_by_review,data\review\manual_review_seed_malicious_schema_v1.csv,,,unspecified,SRC-04_deepset_prompt_injections,,
