"inventory_version","source_id","canonical_name","aliases","source_level","source_type","owner_or_publisher","canonical_url","repository_url","dataset_identifier","version","revision_or_commit","retrieved_at","acquisition_method","usage_status","dataset_roles","internal_evidence_paths","data_artifact_paths","artifact_availability","observed_record_count","record_count_basis","observed_ground_truth_count","inherited_ground_truth_count","ground_truth_count_total","ground_truth_count_basis","raw_text_preserved","transformed","normalization_steps","context_or_wrapper_added","generated_or_synthetic","generation_method","mutation_parent_used","license_claim_internal","license_claim_source","license_evidence_type","license_evidence_path","license_verification_status","attribution_status","redistribution_status","derivative_use_status","provenance_completeness","external_verification_required","unresolved_questions","review_status","notes"
"source_inventory.v1","SRC-01_lakera_gandalf","Lakera Gandalf Ignore Instructions","SRC-01|Lakera Gandalf|Gandalf","primary","dataset","","","","","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|structure_intact_malicious","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv","mixed","33","distinct source_record_id across materialized CSV artifacts","30","58","88","29 seed + 1 structure observed; two mutations inferred for each of 29 seed parents","true","true","line ending and whitespace normalization","false","false","source_original","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","canonical URL owner version revision acquisition date license and overlap with SPML Gandalf rows","internal_inventory_complete","No external verification performed"
"source_inventory.v1","SRC-02","Lakera Mosscap Prompt Injection","SRC-02 Mosscap|Lakera Mosscap","primary","dataset","","","","","","","","","candidate","candidate_pool|heldout_candidate","docs/policies/source_usage_decision_v1.md;docs/archive/superseded/normalization_schema_v1.md","","missing","0","policy evidence only; no current records found","0","0","0","not connected to current GT","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","missing","true","canonical identity URL owner record count version revision acquisition and license","internal_inventory_complete","Retained despite no current data"
"source_inventory.v1","SRC-03_spml_chatbot_prompt_injection","SPML Chatbot Prompt Injection","SRC-03|SPML","primary","dataset","","","","","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|benign|context_evaluation","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/context_eval/manual_review_context_eval_schema_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","mixed","624","distinct source_record_id across materialized CSV artifacts","56","72","128","36 seed + 20 benign observed; two mutations inferred for each of 36 seed parents","true","true","line ending and whitespace normalization; prompt-only and context views separated","System Prompt and User Prompt view constructed when context exists","false","source_original","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","canonical URL license version and whether metadata.source Gandalf records derive from SRC-01","internal_inventory_complete","Original labels preserved separately from review labels"
"source_inventory.v1","SRC-04_deepset_prompt_injections","deepset/prompt-injections","SRC-04|deepset prompt injections","primary","Hugging Face dataset","","","","deepset/prompt-injections","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|benign|baseline","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","mixed","182","distinct source_record_id across materialized CSV artifacts","66","92","158","46 seed + 20 benign observed; two mutations inferred for each of 46 seed parents","true","true","line ending and whitespace normalization; label retained for review","false","false","source_original","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","official dataset card URL owner revision acquisition and license","internal_inventory_complete","Dataset type follows internal name; URL not inferred"
"source_inventory.v1","SRC-05_rogue_security_prompt_injections_benchmark","rogue-security/prompt-injections-benchmark","SRC-05|rogue-security","primary","benchmark","","","","rogue-security/prompt-injections-benchmark","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|bypass|benign|hard_negative|structure_intact_malicious","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/hard_negative/manual_review_hard_negative_schema_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","mixed","574","distinct source_record_id across materialized CSV artifacts","27","12","39","6 seed + 1 structure + 20 benign observed; two mutations inferred for each seed parent","true","true","line ending and whitespace normalization; jailbreak and benign labels routed to manual review roles","false","false","source_original or normalized_source_original","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","official repository dataset revision acquisition license and fork or mirror status","internal_inventory_complete","Jailbreak label was not automatically treated as prompt injection"
"source_inventory.v1","SRC-06_jailbreak_llms","jailbreak_llms","SRC-06|verazuo/jailbreak_llms|TrustAIRLab","primary","GitHub repository","","","","verazuo/jailbreak_llms","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|role_play_bypass|policy_bypass|structure_intact_malicious","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/01_seed_review/bypass/manual_review_bypass_candidate_schema_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv","mixed","1957","distinct source_record_id across materialized CSV artifacts","11","18","29","9 seed + 2 structure observed; two mutations inferred for each seed parent","true","true","line ending and whitespace normalization; platform community and source labels retained","false","false","source_original or normalized_source_original","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","verazuo and TrustAIRLab relationship canonical repository revision license and community-source redistribution rights","internal_inventory_complete","Internal source labels require upstream review"
"source_inventory.v1","SRC-07_prodnull_prompt_injection_repo_dataset","prodnull/prompt-injection-repo-dataset","SRC-07|prodnull","primary","GitHub repository","","","","prodnull/prompt-injection-repo-dataset","","","","local raw JSONL normalization; acquisition not recorded","active","structure_intact_malicious|indirect_injection|benign_hard_negative","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","mixed","682","distinct source_record_id across materialized CSV artifacts","50","0","50","30 structure + 20 benign observed","true","true","line ending and whitespace normalization","repository_file_review_v1 wrapper added around raw text","false","source_original or normalized_source_original","false","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","official repository revision license and record-level licenses of underlying repository files","internal_inventory_complete","Raw text field retained but scanner input is wrapped"
"source_inventory.v1","SRC-08","Lakera PINT Benchmark","SRC-08|Lakera PINT|PINT","primary","benchmark","","","","","","","","","reference","design_reference|heldout_candidate","docs/policies/source_usage_decision_v1.md;docs/archive/superseded/normalization_schema_v1.md","","missing","0","policy evidence only; no current records found","0","0","0","not connected to current GT","unknown","unknown","","","unknown","","false","","","none found","","unresolved","unresolved","unresolved","unresolved","missing","true","canonical identity URL owner record count version revision acquisition terms and license","internal_inventory_complete","Retained as candidate reference despite no current data"
"source_inventory.v1","SRC-09_neuralchemy_prompt_injection_dataset","neuralchemy/Prompt-injection-dataset","SRC-09|neuralchemy","primary","GitHub repository","","","","neuralchemy/Prompt-injection-dataset","","","","local raw JSONL normalization; acquisition not recorded","active","malicious_seed|benign|heldout_candidate|structure_intact_malicious","docs/policies/source_usage_decision_v1.md;scripts/normalization/normalize_sources_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/03_mutation_review/batches/seed_curation_250_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/05_benign/final/benign_dataset_100_v1.csv","mixed","472","distinct source_record_id across materialized CSV artifacts","176","248","424","124 seed + 32 structure + 20 benign observed; two mutations inferred for each seed parent","true","true","line ending and whitespace normalization; category severity group augmentation source and tags retained","false","mixed","source_original and augmented or upstream-labelled records","true","","","none found","","not_checked","unresolved","unresolved","unresolved","partial","true","official repository revision license augmentation provenance and HackAPrompt WildGuard HarmBench dependencies","internal_inventory_complete","Largest effective GT provenance share"
"source_inventory.v1","SRC-10_SCOUT_450","SCOUT-450","SRC-10|sullivanUCSD/SCOUT-450|SRC-10_scout450","primary","Hugging Face dataset","","","","sullivanUCSD/SCOUT-450","","","","Hugging Face datasets-server collector; retrieval date not recorded","active","structure_intact_malicious","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py","data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/final/structure_intact_dataset_150_v1.csv","mixed","74","distinct source_record_id in materialized SCOUT candidate CSV","64","0","64","64 structure rows observed","partially","true","collector preserves scanner_input and clean_content fields; filtering and selection applied","false","mixed","gpt_generated|filtered_copy|gpt_naturalized","false","MIT","collector constant and source_license column","internal metadata claim","scripts/structure_intact/collect/collect_scout450_structure_candidates_v1.py;data/archive/pre_monorepo_data_pipeline_20260730/review/04_structure_intact/external_structure_candidates/src10_scout450_v1/src10_scout450_structure_candidates_all_v1.csv","internal_claim_only","unresolved","unresolved","unresolved","partial","true","official dataset card URL owner revision acquisition and verification of MIT plus AIME BIPIA InjecAgent dependencies","internal_inventory_complete","MIT is not externally verified"
