file,operator_name,op_id,operator_family_guess,input_requirement_guess,output_format_guess,strength_min,strength_max,semantic_preservation_guess,label_change_risk_guess,risk_level,bucket_tags,attack_type_compat,surface_compat,has_params_schema,apply_signature,uses_rng,supports_max_chars,imports,inventory_status,recommended_action,use_in_diagnostic_v1,review_notes
src/operators/op_comp_expand_context.py,op_comp_expand_context,op_comp_expand_context,structural,PROMPT_TEXT,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM10_DOS; LLM05_INPUT_ROBUSTNESS,,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_constraint_schema_preserving_mutation.py,op_constraint_schema_preserving_mutation,op_constraint_schema_preserving_mutation,structural,PROMPT_TEXT; TOOL_ARGUMENTS,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_OUTPUT_HANDLING; LLM05_INPUT_ROBUSTNESS,,PROMPT_TEXT; TOOL_ARGUMENTS,False,"apply(seed_text, ctx, rng)",False,False,__future__.annotations; json; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_markdown_wrapper.py,op_fmt_markdown_wrapper,op_fmt_markdown_wrapper,structural,PROMPT_TEXT,markdown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_INPUT_ROBUSTNESS; LLM01_PROMPT_INJECTION,,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_punctuation_resegmentation.py,op_fmt_punctuation_resegmentation,op_fmt_punctuation_resegmentation,structural,PROMPT_TEXT,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,LOW,LLM05_INPUT_ROBUSTNESS,,PROMPT_TEXT,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; re; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_structured_wrapper_json_yaml.py,op_fmt_structured_wrapper_json_yaml,op_fmt_structured_wrapper_json_yaml,structural,PROMPT_TEXT,json_or_yaml,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_OUTPUT_HANDLING; LLM05_INPUT_ROBUSTNESS,,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; json; random; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_fmt_whitespace_noise.py,op_fmt_whitespace_noise,op_fmt_whitespace_noise,structural,PROMPT_TEXT; SYSTEM_MESSAGE,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM05_INPUT_ROBUSTNESS,,PROMPT_TEXT; SYSTEM_MESSAGE,False,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; re; typing.Any; typing.Dict; typing.List; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_homoglyph_injection.py,op_lex_homoglyph_injection,op_lex_homoglyph_injection,encoding,PROMPT_TEXT,plain_text_or_unknown,1,5,medium_risk_decode_or_readability_check_needed,medium,MEDIUM,LLM01_PROMPT_INJECTION,,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_override_instructions.py,op_lex_override_instructions,op_lex_override_instructions,structural,PROMPT_TEXT; SYSTEM_MESSAGE,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,HIGH,LLM01_PROMPT_INJECTION,,PROMPT_TEXT; SYSTEM_MESSAGE,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_polite_prefix.py,op_lex_polite_prefix,op_lex_polite_prefix,structural,PROMPT_TEXT,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,MEDIUM,LLM01_PROMPT_INJECTION,,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",True,True,__future__.annotations; random; typing.Any; typing.Dict; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
src/operators/op_lex_refusal_suppression.py,op_lex_refusal_suppression,op_lex_refusal_suppression,structural,PROMPT_TEXT,plain_text_or_unknown,1,5,likely_preserved_but_review_needed,low_to_medium,HIGH,LLM01_PROMPT_INJECTION,,PROMPT_TEXT,True,"apply(seed_text, ctx, rng)",False,True,__future__.annotations; random; typing.Any; typing.Dict; src.core.types.ApplyResult,OK,keep_or_modify,yes_reviewed,
